Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      Egz.      
VardasNr8825        PavardeNr8825       2         5         5         10        7         10        9         9         10        7         3         8         9         2         9         6         2         1         
VardasNr8826        PavardeNr8826       4         1         1         10        10        1         4         8         5         10        3         6         5         8         4         8         7         7         
VardasNr8827        PavardeNr8827       3         9         8         10        7         7         9         5         4         9         3         1         2         10        4         3         4         10        
VardasNr8828        PavardeNr8828       9         10        8         1         3         1         9         5         2         2         9         10        1         8         8         9         10        2         
VardasNr8829        PavardeNr8829       5         9         4         9         10        6         7         5         8         4         8         9         10        7         10        5         6         9         
VardasNr8830        PavardeNr8830       10        2         4         1         9         10        9         3         10        5         8         9         7         6         4         4         4         7         
VardasNr8831        PavardeNr8831       3         7         10        3         5         8         1         7         1         10        7         8         7         6         8         8         5         1         
VardasNr8832        PavardeNr8832       7         8         3         1         2         3         4         3         1         3         7         8         3         2         9         5         5         4         
VardasNr8833        PavardeNr8833       3         9         3         1         3         7         9         8         9         6         2         10        9         5         8         7         6         9         
VardasNr8834        PavardeNr8834       3         2         6         10        6         10        7         1         4         10        7         6         6         5         2         9         2         2         
VardasNr8835        PavardeNr8835       4         7         4         4         3         5         10        5         9         10        8         6         6         5         4         3         5         5         
VardasNr8836        PavardeNr8836       3         6         4         1         4         8         1         5         3         2         5         5         7         2         10        2         6         7         
VardasNr8837        PavardeNr8837       6         3         8         6         7         6         9         2         1         5         5         7         2         6         7         10        7         4         
VardasNr8838        PavardeNr8838       9         9         5         4         5         8         3         1         9         4         2         6         3         3         6         10        7         2         
VardasNr8839        PavardeNr8839       2         7         3         10        4         2         2         10        7         9         10        8         1         9         3         10        8         5         
VardasNr8840        PavardeNr8840       6         9         5         7         6         2         1         1         8         10        8         6         7         7         10        3         5         9         
VardasNr8841        PavardeNr8841       10        6         8         1         7         8         10        5         8         9         6         4         1         6         8         5         6         3         
VardasNr8842        PavardeNr8842       9         2         3         5         4         2         2         4         2         2         7         4         10        2         8         3         2         6         
VardasNr8843        PavardeNr8843       3         1         7         5         8         6         2         4         8         7         1         9         2         1         9         1         7         6         
VardasNr8844        PavardeNr8844       9         7         1         10        1         10        9         4         2         5         9         5         7         4         9         6         6         2         
VardasNr8845        PavardeNr8845       6         1         6         3         5         3         6         2         5         1         5         2         2         2         1         4         10        8         
VardasNr8846        PavardeNr8846       7         4         9         3         5         5         5         9         9         7         6         3         4         1         3         10        9         3         
VardasNr8847        PavardeNr8847       1         5         8         6         4         1         9         3         4         6         6         3         9         4         4         3         3         10        
VardasNr8848        PavardeNr8848       5         3         2         1         4         10        3         3         7         9         6         9         5         9         2         3         9         5         
VardasNr8849        PavardeNr8849       10        7         10        2         8         6         3         1         7         2         2         8         1         5         7         10        3         5         
VardasNr8850        PavardeNr8850       10        6         10        10        7         2         8         2         4         6         6         10        1         4         4         6         4         10        
VardasNr8851        PavardeNr8851       6         9         10        8         9         10        7         8         10        4         8         5         7         10        1         8         7         10        
VardasNr8852        PavardeNr8852       2         4         9         3         5         9         9         8         10        3         4         6         1         1         9         2         5         10        
VardasNr8853        PavardeNr8853       3         10        1         7         3         9         2         1         10        6         6         5         1         5         7         10        7         9         
VardasNr8854        PavardeNr8854       4         5         4         5         7         3         8         3         2         10        2         7         9         4         6         6         2         6         
VardasNr8855        PavardeNr8855       6         10        7         1         1         1         3         10        3         7         2         6         7         4         1         3         2         5         
VardasNr8856        PavardeNr8856       9         7         10        1         9         6         3         8         7         3         3         4         4         9         10        9         1         9         
VardasNr8857        PavardeNr8857       7         9         8         2         10        4         9         7         6         9         3         6         1         10        6         2         8         2         
VardasNr8858        PavardeNr8858       8         8         1         4         3         3         6         9         3         1         10        10        7         2         4         8         1         9         
VardasNr8859        PavardeNr8859       7         6         1         10        1         3         4         7         10        7         8         7         8         8         10        1         3         4         
VardasNr8860        PavardeNr8860       1         6         6         3         1         8         4         2         6         4         9         7         7         6         2         7         7         2         
VardasNr8861        PavardeNr8861       4         8         8         5         2         10        7         9         4         7         9         8         5         2         8         5         1         4         
VardasNr8862        PavardeNr8862       4         2         1         8         5         5         1         5         8         4         1         10        3         6         3         7         8         8         
VardasNr8863        PavardeNr8863       5         8         8         7         2         6         9         8         3         7         10        10        8         2         3         1         1         2         
VardasNr8864        PavardeNr8864       1         2         8         6         2         6         9         1         1         5         2         7         5         7         8         4         9         3         
VardasNr8865        PavardeNr8865       4         9         3         5         10        9         1         4         10        3         1         2         9         9         3         2         9         1         
VardasNr8866        PavardeNr8866       8         7         5         8         4         10        3         1         9         7         1         4         2         4         5         4         9         4         
VardasNr8867        PavardeNr8867       5         2         9         2         1         2         6         1         2         7         8         4         9         8         5         10        7         9         
VardasNr8868        PavardeNr8868       8         7         8         10        8         5         7         6         8         1         10        7         6         4         1         2         5         7         
VardasNr8869        PavardeNr8869       8         10        2         10        6         4         7         1         8         1         5         10        4         6         3         3         4         2         
VardasNr8870        PavardeNr8870       8         10        9         10        9         1         6         10        2         4         9         9         2         4         7         3         8         7         
VardasNr8871        PavardeNr8871       10        10        9         1         2         2         4         7         9         7         7         8         10        10        9         9         1         6         
VardasNr8872        PavardeNr8872       4         3         9         3         3         1         5         9         4         2         7         4         6         9         2         7         2         4         
VardasNr8873        PavardeNr8873       4         7         7         2         2         8         1         9         7         4         10        1         10        8         3         8         9         2         
VardasNr8874        PavardeNr8874       6         8         1         6         9         2         9         7         8         2         7         10        8         6         3         8         4         6         
VardasNr8875        PavardeNr8875       8         4         5         8         9         10        6         2         2         8         8         7         9         7         3         10        10        3         
VardasNr8876        PavardeNr8876       3         6         5         2         7         2         10        1         5         8         3         9         3         8         9         3         1         9         
VardasNr8877        PavardeNr8877       4         4         9         5         8         5         2         9         6         10        2         2         3         10        5         9         2         7         
VardasNr8878        PavardeNr8878       7         5         10        9         6         1         5         7         10        5         6         8         3         8         1         4         1         5         
VardasNr8879        PavardeNr8879       1         3         9         9         6         4         2         5         2         5         4         2         7         4         8         2         7         3         
VardasNr8880        PavardeNr8880       8         4         10        2         2         6         8         5         9         10        3         4         5         7         9         4         10        1         
VardasNr8881        PavardeNr8881       10        1         6         3         6         8         9         10        4         3         3         5         7         9         7         10        3         8         
VardasNr8882        PavardeNr8882       4         6         1         3         6         9         9         2         7         10        7         4         3         4         3         1         4         5         
VardasNr8883        PavardeNr8883       4         1         5         10        5         10        10        1         6         9         1         3         10        9         10        8         8         2         
VardasNr8884        PavardeNr8884       9         8         4         6         7         7         4         1         6         7         3         6         2         2         10        8         7         7         
VardasNr8885        PavardeNr8885       2         10        8         6         4         7         2         1         7         1         8         1         2         1         5         10        8         1         
VardasNr8886        PavardeNr8886       2         9         6         3         10        3         5         10        10        1         1         7         10        6         2         9         3         1         
VardasNr8887        PavardeNr8887       5         9         3         1         2         10        6         7         3         4         10        3         7         9         4         5         6         8         
VardasNr8888        PavardeNr8888       5         7         6         1         4         1         4         9         7         9         7         6         1         7         5         8         6         1         
VardasNr8889        PavardeNr8889       3         4         3         7         7         6         6         1         10        10        9         4         3         1         9         8         8         3         
VardasNr8890        PavardeNr8890       3         9         1         7         3         7         5         2         5         1         8         2         3         2         10        8         6         2         
VardasNr8891        PavardeNr8891       2         9         4         1         4         2         2         2         1         4         5         3         10        9         6         2         5         7         
VardasNr8892        PavardeNr8892       4         2         3         5         9         8         10        1         9         9         2         9         5         5         7         4         8         4         
VardasNr8893        PavardeNr8893       1         5         8         8         3         10        10        8         3         3         3         6         5         6         6         5         4         5         
VardasNr8894        PavardeNr8894       3         7         4         4         3         3         8         5         10        5         8         1         4         2         10        7         3         7         
VardasNr8895        PavardeNr8895       1         8         9         6         1         3         2         2         9         10        5         8         10        9         8         1         5         5         
VardasNr8896        PavardeNr8896       5         9         3         7         1         9         7         6         9         7         6         8         1         10        6         6         9         2         
VardasNr8897        PavardeNr8897       8         7         3         5         9         9         8         4         9         8         2         6         3         7         3         5         5         5         
VardasNr8898        PavardeNr8898       6         8         7         3         5         2         9         5         2         6         7         10        7         7         7         5         7         6         
VardasNr8899        PavardeNr8899       4         9         10        4         4         8         1         5         1         5         6         2         10        5         6         8         9         10        
VardasNr8900        PavardeNr8900       9         3         5         10        10        6         10        5         10        4         5         9         3         10        9         4         9         4         
VardasNr8901        PavardeNr8901       5         2         4         1         4         5         4         8         5         9         10        2         7         4         1         1         1         9         
VardasNr8902        PavardeNr8902       2         1         2         10        1         4         3         1         3         4         7         5         1         1         6         6         2         3         
VardasNr8903        PavardeNr8903       2         8         5         2         5         6         2         6         9         4         3         1         4         9         3         5         8         3         
VardasNr8904        PavardeNr8904       5         8         4         7         7         9         10        4         8         7         7         6         9         6         2         10        3         8         
VardasNr8905        PavardeNr8905       5         2         10        7         6         6         2         2         1         2         5         3         6         7         2         1         10        3         
VardasNr8906        PavardeNr8906       9         3         6         2         1         7         9         2         9         5         10        6         5         7         7         6         9         7         
VardasNr8907        PavardeNr8907       10        9         4         1         1         2         4         10        6         10        8         8         1         8         6         5         5         4         
VardasNr8908        PavardeNr8908       3         5         7         6         2         9         3         8         2         10        9         1         9         6         5         9         3         10        
VardasNr8909        PavardeNr8909       6         1         7         9         9         10        5         9         10        6         2         9         7         2         10        2         5         10        
VardasNr8910        PavardeNr8910       6         10        10        10        8         4         1         9         10        6         5         2         4         4         4         6         2         1         
VardasNr8911        PavardeNr8911       6         9         4         5         8         4         1         4         10        10        6         9         5         4         5         1         1         8         
VardasNr8912        PavardeNr8912       3         10        5         2         7         10        5         6         6         7         10        3         1         9         10        9         5         9         
VardasNr8913        PavardeNr8913       3         3         2         2         2         8         3         5         9         1         5         8         3         2         5         4         9         10        
VardasNr8914        PavardeNr8914       2         6         5         1         5         9         1         2         9         2         6         2         8         6         6         8         2         8         
VardasNr8915        PavardeNr8915       1         4         7         1         2         9         10        8         5         8         3         1         9         7         6         9         10        9         
VardasNr8916        PavardeNr8916       1         3         3         2         8         1         4         4         10        9         8         8         1         7         3         5         1         5         
VardasNr8917        PavardeNr8917       2         6         2         3         3         10        3         8         5         3         9         2         9         1         6         9         1         7         
VardasNr8918        PavardeNr8918       6         3         4         1         2         3         3         9         3         9         3         6         10        10        9         2         9         8         
VardasNr8919        PavardeNr8919       6         7         3         8         5         10        5         7         7         9         2         7         10        5         4         8         5         4         
VardasNr8920        PavardeNr8920       4         5         7         6         3         5         2         3         2         9         8         7         2         4         7         7         10        7         
VardasNr8921        PavardeNr8921       3         7         7         2         8         2         4         1         4         6         3         9         10        9         8         9         7         7         
VardasNr8922        PavardeNr8922       5         3         9         9         1         3         4         9         2         3         4         4         3         7         9         8         1         10        
VardasNr8923        PavardeNr8923       10        7         3         4         8         6         1         5         3         10        5         4         3         7         1         8         2         4         
VardasNr8924        PavardeNr8924       4         9         7         6         1         2         9         2         2         6         7         1         9         8         7         10        5         10        
VardasNr8925        PavardeNr8925       1         2         2         9         7         7         5         9         1         8         1         4         6         8         7         6         7         1         
VardasNr8926        PavardeNr8926       7         3         9         5         3         10        10        10        10        6         9         5         2         4         3         1         6         6         
VardasNr8927        PavardeNr8927       5         8         10        9         1         5         4         8         3         3         6         3         3         5         3         5         1         9         
VardasNr8928        PavardeNr8928       10        6         7         5         6         6         6         10        2         10        7         9         5         5         7         5         1         3         
VardasNr8929        PavardeNr8929       4         7         10        9         7         9         6         5         1         6         9         6         4         8         7         4         8         4         
VardasNr8930        PavardeNr8930       5         1         8         1         4         5         2         5         10        5         8         10        2         8         4         8         1         2         
VardasNr8931        PavardeNr8931       2         1         1         9         1         5         1         9         10        4         6         1         1         1         8         9         3         5         
VardasNr8932        PavardeNr8932       7         8         6         5         2         2         7         10        7         7         2         1         5         10        9         7         1         9         
VardasNr8933        PavardeNr8933       5         4         8         1         7         6         7         4         6         4         7         9         3         4         5         2         9         3         
VardasNr8934        PavardeNr8934       5         7         6         7         3         5         5         6         8         7         8         10        7         8         2         9         4         10        
VardasNr8935        PavardeNr8935       3         4         2         8         8         4         3         10        9         8         6         8         10        1         3         9         1         1         
VardasNr8936        PavardeNr8936       8         5         10        6         7         6         5         5         6         10        9         4         1         5         9         1         1         2         
VardasNr8937        PavardeNr8937       5         1         8         9         8         6         2         8         4         3         7         7         9         5         3         9         7         3         
VardasNr8938        PavardeNr8938       9         9         5         8         2         7         8         7         2         10        9         4         6         5         5         8         4         3         
VardasNr8939        PavardeNr8939       1         2         10        5         4         2         1         8         1         9         6         10        2         8         1         6         1         1         
VardasNr8940        PavardeNr8940       5         8         3         7         1         8         3         5         3         6         3         10        4         6         6         8         8         3         
VardasNr8941        PavardeNr8941       10        8         9         7         10        7         5         3         3         4         9         8         5         10        3         6         4         4         
VardasNr8942        PavardeNr8942       3         9         5         8         2         2         2         1         10        3         9         6         2         7         4         8         4         1         
VardasNr8943        PavardeNr8943       5         9         9         3         4         2         3         4         2         9         9         9         8         9         2         4         4         8         
VardasNr8944        PavardeNr8944       10        9         4         1         5         8         5         3         9         3         10        5         4         5         2         2         10        7         
VardasNr8945        PavardeNr8945       1         1         10        9         9         5         5         5         1         9         10        10        4         6         10        2         6         5         
VardasNr8946        PavardeNr8946       5         2         9         7         9         6         1         5         9         10        3         10        4         1         10        5         10        4         
VardasNr8947        PavardeNr8947       2         3         1         1         3         4         4         6         1         4         3         5         6         9         8         7         8         8         
VardasNr8948        PavardeNr8948       3         1         3         7         6         2         5         8         6         2         7         7         9         3         1         9         10        3         
VardasNr8949        PavardeNr8949       1         4         10        1         7         9         7         4         7         6         3         6         2         7         6         2         2         4         
VardasNr8950        PavardeNr8950       8         8         5         6         4         6         2         3         10        10        5         10        6         6         9         5         2         8         
VardasNr8951        PavardeNr8951       7         3         2         10        2         10        2         4         5         2         5         8         8         3         7         5         9         3         
VardasNr8952        PavardeNr8952       10        8         2         8         9         3         5         2         8         7         8         9         5         4         6         8         1         4         
VardasNr8953        PavardeNr8953       1         10        1         5         5         1         6         3         8         9         1         6         8         10        3         2         10        4         
VardasNr8954        PavardeNr8954       5         1         2         7         2         7         9         7         7         3         7         6         10        8         1         4         3         4         
VardasNr8955        PavardeNr8955       8         8         9         8         4         8         2         6         3         1         8         7         7         6         4         10        1         1         
VardasNr8956        PavardeNr8956       2         7         6         1         2         8         8         3         1         3         1         10        3         7         8         9         4         1         
VardasNr8957        PavardeNr8957       6         3         4         8         4         10        5         2         3         10        10        10        10        4         7         4         8         4         
VardasNr8958        PavardeNr8958       9         2         7         5         9         3         8         10        10        1         10        5         1         3         4         4         6         1         
VardasNr8959        PavardeNr8959       10        8         6         10        4         7         6         1         1         5         3         3         4         6         3         8         3         3         
VardasNr8960        PavardeNr8960       9         3         8         10        6         2         1         3         10        9         7         9         1         1         10        3         3         6         
VardasNr8961        PavardeNr8961       9         1         4         2         9         2         1         10        1         10        4         3         3         5         9         3         9         1         
VardasNr8962        PavardeNr8962       9         3         10        7         9         6         8         10        9         5         8         6         2         8         7         9         3         1         
VardasNr8963        PavardeNr8963       9         8         5         6         9         8         6         8         5         4         1         4         8         9         5         7         9         8         
VardasNr8964        PavardeNr8964       3         1         8         9         8         1         6         5         1         5         10        1         7         9         1         10        5         6         
VardasNr8965        PavardeNr8965       2         10        1         4         2         1         1         9         8         7         10        7         9         2         7         9         9         8         
VardasNr8966        PavardeNr8966       7         1         5         3         8         1         9         2         6         2         8         10        10        1         1         1         5         5         
VardasNr8967        PavardeNr8967       7         2         7         4         3         8         3         4         4         5         7         3         9         7         2         8         4         6         
VardasNr8968        PavardeNr8968       4         5         7         6         3         3         3         8         8         2         9         9         6         2         8         3         4         10        
VardasNr8969        PavardeNr8969       4         4         2         7         7         7         1         9         5         8         3         3         6         8         6         1         8         5         
VardasNr8970        PavardeNr8970       2         9         8         10        7         8         5         3         4         5         2         10        1         9         6         3         1         7         
VardasNr8971        PavardeNr8971       3         2         4         4         10        6         9         8         8         2         5         4         7         3         5         1         10        8         
VardasNr8972        PavardeNr8972       8         2         7         9         7         5         8         5         10        4         9         2         10        2         10        6         6         3         
VardasNr8973        PavardeNr8973       4         3         2         7         10        2         7         7         1         6         3         6         4         3         1         8         1         8         
VardasNr8974        PavardeNr8974       9         4         2         9         5         5         4         8         8         9         5         10        1         3         8         9         6         5         
VardasNr8975        PavardeNr8975       2         7         7         4         8         1         2         5         6         8         6         5         1         6         2         3         3         2         
VardasNr8976        PavardeNr8976       7         1         4         3         5         5         2         8         10        7         9         10        4         6         1         3         3         4         
VardasNr8977        PavardeNr8977       5         4         4         7         7         9         2         9         3         7         3         5         4         9         10        3         5         10        
VardasNr8978        PavardeNr8978       5         7         10        5         9         10        3         6         7         9         4         3         5         9         5         10        6         4         
VardasNr8979        PavardeNr8979       6         1         1         5         5         4         7         4         5         6         8         4         7         1         1         6         2         10        
VardasNr8980        PavardeNr8980       6         3         1         1         5         7         9         5         4         8         6         7         10        5         9         4         4         1         
VardasNr8981        PavardeNr8981       5         2         10        7         6         10        10        5         7         2         2         9         2         9         10        8         4         5         
VardasNr8982        PavardeNr8982       8         7         3         3         4         1         10        10        9         8         4         4         3         5         3         5         10        2         
VardasNr8983        PavardeNr8983       4         9         8         9         2         9         8         9         5         4         3         6         2         5         10        10        9         1         
VardasNr8984        PavardeNr8984       3         5         4         3         3         1         4         7         6         1         9         6         8         2         4         5         8         1         
VardasNr8985        PavardeNr8985       9         2         9         6         8         7         8         6         10        5         9         1         7         5         5         7         1         6         
VardasNr8986        PavardeNr8986       4         9         8         1         10        2         4         7         8         3         9         9         1         7         3         7         6         1         
VardasNr8987        PavardeNr8987       7         10        1         5         3         5         8         1         8         4         1         10        4         2         9         9         3         3         
VardasNr8988        PavardeNr8988       3         8         5         5         10        8         2         3         9         10        8         8         9         6         9         2         8         4         
VardasNr8989        PavardeNr8989       1         2         10        6         7         7         4         5         2         5         2         5         9         9         10        9         1         10        
VardasNr8990        PavardeNr8990       6         8         5         2         7         9         2         9         10        9         5         5         2         6         6         8         7         7         
VardasNr8991        PavardeNr8991       2         4         8         2         5         2         1         9         8         4         5         4         2         9         1         3         10        5         
VardasNr8992        PavardeNr8992       9         7         6         2         9         5         7         9         1         10        3         7         1         10        2         6         5         4         
VardasNr8993        PavardeNr8993       5         1         3         6         6         9         8         1         10        5         6         7         8         8         5         3         9         6         
VardasNr8994        PavardeNr8994       9         7         3         4         9         9         1         1         7         1         9         9         7         3         1         3         3         8         
VardasNr8995        PavardeNr8995       5         2         6         7         4         6         5         7         2         2         6         8         7         5         1         7         10        2         
VardasNr8996        PavardeNr8996       3         8         9         3         7         7         2         9         9         2         10        4         2         2         1         9         9         5         
VardasNr8997        PavardeNr8997       5         7         2         1         10        8         4         9         7         1         9         1         1         3         8         1         1         7         
VardasNr8998        PavardeNr8998       5         5         6         10        6         1         2         2         1         3         4         2         5         5         4         6         9         10        
VardasNr8999        PavardeNr8999       3         7         10        4         2         4         5         4         9         3         3         7         5         3         4         3         5         2         
VardasNr9000        PavardeNr9000       3         7         4         5         5         4         8         5         5         7         3         10        1         5         2         4         8         8         
VardasNr9001        PavardeNr9001       4         6         3         2         3         8         4         9         7         10        2         7         10        6         1         1         3         5         
VardasNr9002        PavardeNr9002       9         10        5         5         7         6         4         1         5         5         3         7         8         7         10        4         4         2         
VardasNr9003        PavardeNr9003       7         8         7         8         1         4         9         10        1         2         1         1         9         5         10        2         6         1         
VardasNr9004        PavardeNr9004       3         4         9         9         1         9         4         1         1         7         5         7         1         1         3         7         2         3         
VardasNr9005        PavardeNr9005       1         1         2         10        5         5         2         10        3         6         9         9         4         1         10        4         6         8         
VardasNr9006        PavardeNr9006       9         10        8         6         7         1         7         7         3         6         10        10        7         1         7         1         7         10        
VardasNr9007        PavardeNr9007       7         9         3         8         3         6         4         7         8         10        5         1         7         4         3         9         6         2         
VardasNr9008        PavardeNr9008       10        10        7         1         9         6         1         7         9         9         5         8         9         7         1         9         9         4         
VardasNr9009        PavardeNr9009       8         10        5         7         4         10        2         2         8         1         6         9         9         1         1         5         1         9         
VardasNr9010        PavardeNr9010       8         4         10        4         10        7         1         5         4         8         8         5         8         10        7         8         4         4         
VardasNr9011        PavardeNr9011       7         3         7         8         3         7         8         6         2         7         10        1         4         3         1         5         10        1         
VardasNr9012        PavardeNr9012       4         4         9         3         8         4         5         7         4         9         6         8         6         1         3         7         10        2         
VardasNr9013        PavardeNr9013       4         9         3         9         1         6         5         4         5         7         5         4         2         2         3         2         1         4         
VardasNr9014        PavardeNr9014       6         8         6         4         4         10        2         4         4         9         10        8         5         7         2         5         8         5         
VardasNr9015        PavardeNr9015       8         6         5         5         10        3         5         3         8         2         6         9         5         9         8         5         2         7         
VardasNr9016        PavardeNr9016       8         10        2         6         8         9         8         9         7         2         6         7         8         5         4         1         10        1         
VardasNr9017        PavardeNr9017       2         3         7         1         9         8         4         2         8         2         9         3         8         4         2         4         2         3         
VardasNr9018        PavardeNr9018       2         8         2         8         9         9         9         9         5         6         8         5         1         8         7         10        9         4         
VardasNr9019        PavardeNr9019       2         8         6         10        5         3         7         3         8         10        3         4         6         7         4         9         8         6         
VardasNr9020        PavardeNr9020       7         5         7         3         5         1         5         9         8         4         4         4         4         6         3         1         3         5         
VardasNr9021        PavardeNr9021       8         4         10        5         7         1         9         3         4         7         7         6         6         10        7         8         10        5         
VardasNr9022        PavardeNr9022       4         9         9         3         1         2         6         6         10        8         6         1         6         5         10        7         7         7         
VardasNr9023        PavardeNr9023       3         7         9         7         2         4         3         6         9         4         8         4         9         3         2         3         2         5         
VardasNr9024        PavardeNr9024       1         9         6         3         7         3         10        8         8         1         4         1         4         4         7         6         3         2         
VardasNr9025        PavardeNr9025       1         8         2         5         2         6         4         3         1         5         5         7         8         1         4         7         6         3         
VardasNr9026        PavardeNr9026       8         1         8         6         6         9         2         10        1         5         10        2         9         3         2         9         9         1         
VardasNr9027        PavardeNr9027       1         2         7         3         9         3         5         2         5         7         6         6         10        8         3         9         3         5         
VardasNr9028        PavardeNr9028       7         10        3         5         9         4         2         9         6         5         8         5         7         3         7         6         10        5         
